Abruzzo,64014
Basilicata,30749
Calabria,98286
Campania,281726
Emilia-romagna,154413
Friuli Venezia Giulia,42633
Lazio,256348
Liguria,52356
Lombardia,344103
Marche,67355
Molise,17206
Piemonte,142004
Puglia,185021
Sardegna,52059
Sicilia,217026
Toscana,121185
Trentino-alto adige/sudtirol,31918
Umbria,35274
Valle d'Aosta,4604
Veneto,149151
